Championship,Team A,Team B,Score A,Score B,Time
كأس رابطة الأندية,الاتحاد السكندري,المصري,0,0,17:00
كأس رابطة الأندية,وادي دجلة,بتروجت,1,2,20:00
الدوري الأوروبي,دينامو زغرب,ريال بيتيس,1,3,19:45
الدوري الأوروبي,يونج بويز,ليل,1,0,19:45
الدوري الأوروبي,شتورم جراتس,سرفينا زافيزدا,0,1,19:45
الدوري الأوروبي,شتوتجارت,مكابى تل ابيب,4,1,19:45
الدوري الأوروبي,أوتريخت,نوتينجهام فورست,1,2,19:45
الدوري الأوروبي,فيرينكفاروسي,جلاسكو رينجرز,2,1,19:45
الدوري الأوروبي,نيس,سبورتينج براجا,0,1,19:45
الدوري الأوروبي,ميتييلاند,جينك,1,0,19:45
الدوري الأوروبي,لودوجوريتس,باوك سالونيكا,3,3,19:45
الدوري الأوروبي,ليون,جو أهيد إيجلز,2,1,22:00
الدوري الأوروبي,فرايبورج,ريد بول سالزبورج,1,0,22:00
الدوري الأوروبي,سيلتا فيجو,بولونيا,1,2,22:00
الدوري الأوروبي,سلتيك,روما,0,3,22:00
الدوري الأوروبي,بازل,أستون فيلا,1,2,22:00
الدوري الأوروبي,ستيوا بوخارست,فينورد,4,3,22:00
الدوري الأوروبي,بران,فنربخشة,0,4,22:00
الدوري الأوروبي,باناثينايكوس,فيكتوريا بلزن,0,0,22:00
الدوري الأوروبي,بورتو,مالمو,2,1,22:00
دوري المؤتمر الأوروبي,دريتا,الكمار,0,3,19:45
دوري المؤتمر الأوروبي,يونيفيرسيتاتيا كرايوفا,سبارتا براج,1,2,19:45
دوري المؤتمر الأوروبي,شكينديا,سلوفان براتيسلافا,2,0,19:45
دوري المؤتمر الأوروبي,سامسون سبور,ايك اثينا,1,2,19:45
دوري المؤتمر الأوروبي,نادي نوح,ليجيا وارسو,2,1,19:45
دوري المؤتمر الأوروبي,هاكين,آيك لارانكا,1,1,19:45
دوري المؤتمر الأوروبي,نادي ياجييلونيا بياويستوك,رايو فاييكانو,1,2,19:45
دوري المؤتمر الأوروبي,فيورنتينا,دينامو كييف,2,1,19:45
دوري المؤتمر الأوروبي,بريدابليك,شامروك روفرز,3,1,19:45
دوري المؤتمر الأوروبي,ليخ بوزنان,ماينز,1,1,22:00
دوري المؤتمر الأوروبي,أبيردين,ستراسبورج,0,1,22:00
دوري المؤتمر الأوروبي,راكوف تشانستوخوفا,زرينيسكي موستا,1,0,22:00
دوري المؤتمر الأوروبي,لينكولن,سيجما أولوموتس,2,1,22:00
دوري المؤتمر الأوروبي,رييكا,نادي إن كيه تسيليى,3,0,22:00
دوري المؤتمر الأوروبي,رابيد فيينا,أومونيا,0,1,22:00
دوري المؤتمر الأوروبي,شيلبورن,كريستال بالاس,0,3,22:00
دوري المؤتمر الأوروبي,هامرون سبارتانز,شاختار دونيتسك,0,2,22:00
دوري المؤتمر الأوروبي,كووبيون بالوسيورا,لويزان سبورت,0,0,22:00
دوري القسم الثاني-أ,الترسانة,طنطا‏,1,1,14:30
دوري القسم الثاني-أ,لافيينا أف سي,أبو قير للاسمدة,3,1,14:30
دوري القسم الثاني-أ,ديروط,السكة الحديد,0,0,14:30
